id,eventDate,value,creationDate
833ad64b-2a33-4e48-b625-05960bb71cc0,2020-08-06,100,2020-08-11
7c2c8328-80ff-4b27-881e-ec79141806fe,2020-08-06,70,2020-08-11
b090c989-da86-4687-a874-da2d599f1e83,2020-08-09,51,2020-08-11
d6309856-af9e-4e36-9cf0-2a4c762686c6,2020-08-10,97,2020-08-11
519e6eb9-bc6a-485a-9b91-2b4a1d566b87,2020-08-10,58,2020-08-11
653ba7fd-d053-4ec8-bc99-60e6b1da6645,2020-08-08,35,2020-08-11
aa2abbab-5855-48de-806e-6bf84bd5b1e1,2020-08-08,13,2020-08-11
02f442a9-28f4-40e1-8072-146fccc90279,2020-08-06,83,2020-08-11
1f2be40a-0a29-44f3-b534-bb6fa5fc80f0,2020-08-06,66,2020-08-11
53961f99-614a-4917-b13e-f26fa4297c4c,2020-08-05,71,2020-08-11
69084b81-82e5-44bf-806e-c1521823e342,2020-08-05,60,2020-08-11
3c4ffbb9-e6fd-42ab-83e7-5205537e4230,2020-08-07,88,2020-08-11
5eeeb60e-3dcf-42c4-aaaa-2631613a76d4,2020-08-08,47,2020-08-11
36bdcff8-4dc9-4f00-97e6-9bc8cb914a6f,2020-08-10,92,2020-08-11
d8646b11-54a8-4575-a8e4-6d660a1d7221,2020-08-10,39,2020-08-11
aa18dda9-1009-4dfa-82d2-9bb69e6dc3d8,2020-08-05,73,2020-08-11
1f80f1e2-a041-4e13-8912-93a2e86c03fe,2020-08-06,90,2020-08-11
6356bee5-388c-4d06-9ef2-f58c3465ec59,2020-08-07,54,2020-08-11
afabff86-0563-4fe2-8cea-c0adfb3b9aef,2020-08-10,24,2020-08-11
1ae12466-4a23-45fa-be0f-33847b0512f6,2020-08-05,80,2020-08-11
fa89e707-a2a5-4c62-a5bd-1a3898a7b40d,2020-08-05,45,2020-08-11
90519684-7e8b-4d4a-a361-2d11afbf3eef,2020-08-07,93,2020-08-11
ffa0efda-4815-4ba6-bc29-9c49bf15381b,2020-08-08,86,2020-08-11
6d95e7fb-5ce7-470e-a2e6-aa7fd1bf2bd2,2020-08-10,98,2020-08-11
87bfd88d-75da-4176-af80-2a122b0379e5,2020-08-04,62,2020-08-11
58172e40-13b0-433e-9466-4b13dd807c43,2020-08-05,13,2020-08-11
c5e1908d-b92e-46b8-82db-19b58cf320fd,2020-08-05,11,2020-08-11
ce5c2064-9a47-448a-9f50-f977ffa06608,2020-08-05,62,2020-08-11
eabc72b4-cb73-4aae-b6f0-9a1688107868,2020-08-05,38,2020-08-11
7a8a5e44-dd93-414b-b365-d6bde15acb29,2020-08-08,68,2020-08-11
f8abbacf-03d6-40d4-a385-377d98988d61,2020-08-05,95,2020-08-11
73ae22c2-5644-44f6-a635-405721685688,2020-08-04,36,2020-08-11
e0391faa-1949-40f5-84fa-b569091ffb41,2020-08-04,14,2020-08-11
d4ac31d4-93fe-4bb6-b1a7-96697b175b0d,2020-08-07,88,2020-08-11
40c5c091-db09-41af-8713-40a82044ef2d,2020-08-06,57,2020-08-11
79d9976a-03fc-4c0b-a9f3-95da5c0d64bd,2020-08-09,17,2020-08-11
26e0b0b5-252e-4f13-bcfa-0aaab841eb1e,2020-08-05,44,2020-08-11
929a35c1-254a-4c7f-9354-2f29b107fea5,2020-08-06,55,2020-08-11
3d7a657a-60db-4027-8674-81d15e3276d6,2020-08-04,12,2020-08-11
611bf868-fcb8-4ff7-bb54-f3a949ac92a8,2020-08-07,98,2020-08-11
e2a992b2-827e-4855-8efc-5eeec2ddc651,2020-08-04,84,2020-08-11
75ea3d92-6cc4-4c5c-a43f-ebd43ec98cc6,2020-08-08,29,2020-08-11
